statefp,district,sort
04,01,1
25,09,2
47,03,3
27,07,4
06,24,5
06,01,6
12,01,7
13,09,8
22,04,9
22,01,10
22,02,11
04,07,12
17,12,13
41,04,14
45,02,15
45,01,16
36,10,17
23,02,18
24,01,19
47,08,20
32,02,21
51,06,22
19,04,23
22,05,24
48,27,25
40,04,26
27,08,27
54,02,28
15,02,29
53,08,30
04,04,31
13,12,32
13,03,33
28,04,34
06,23,35
01,02,36
12,26,37
19,01,38
42,12,39
27,01,40
36,13,41
48,01,42
36,06,43
08,02,44
16,01,45
37,03,46
42,17,47
48,23,48
55,08,49
26,08,50
51,02,51
51,09,52
53,01,53
53,04,54
53,06,55
54,03,56
72,98,57
26,03,58
36,12,59
36,21,60
36,04,61
01,01,62
28,02,63
42,07,64
42,02,65
42,11,66
45,03,67
08,03,68
08,04,69
12,08,70
12,04,71
37,01,72
37,07,73
37,11,74
48,17,75
48,14,76
48,34,77
48,30,78
48,13,79
41,05,80
17,18,81
47,02,82
21,04,83
17,17,84
21,02,85
41,02,86
17,15,87
05,03,88
06,39,89
06,43,90
06,51,91
06,37,92
06,40,93
06,03,94
06,21,95
10,00,96
32,04,97
34,12,98
25,02,99
42,16,100
04,03,101
49,03,102
29,03,103
40,02,104
39,02,105
39,10,106
20,01,107
33,01,108
33,02,109
55,03,110
50,00,111
56,00,112
30,00,113
06,11,114
51,10,115
22,06,116
23,01,117
40,03,118
36,09,119
18,08,120
45,06,121
31,03,122
21,05,123
37,13,124
26,04,125
01,04,126
12,12,127
54,01,128
51,01,129
06,29,130
21,01,131
42,10,132
31,01,133
51,05,134
06,02,135
16,02,136
20,02,137
47,04,138
29,08,139
49,02,140
49,01,141
12,02,142
12,05,143
42,09,144
34,10,145
35,02,146
06,22,147
55,07,148
53,03,149
13,02,150
48,04,151
19,02,152
35,03,153
06,04,154
06,44,155
47,01,156
13,08,157
05,01,158
48,28,159
36,19,160
18,07,161
53,02,162
01,07,163
28,03,164
48,26,165
05,04,166
06,45,167
29,06,168
46,00,169
26,09,170
01,03,171
24,06,172
38,00,173
13,10,174
13,11,175
26,01,176
48,05,177
17,10,178
06,08,179
39,06,180
19,03,181
37,05,182
39,15,183
53,05,184
13,01,185
26,05,186
34,03,187
36,08,188
05,02,189
06,16,190
37,12,191
13,07,192
17,03,193
48,12,194
17,09,195
18,09,196
20,04,197
42,18,198
18,02,199
36,18,200
53,09,201
42,14,202
51,07,203
12,19,204
36,27,205
06,19,206
36,15,207
39,03,208
60,98,209
06,48,210
12,06,211
42,04,212
26,07,213
21,06,214
06,06,215
55,05,216
48,35,217
48,20,218
17,11,219
06,17,220
48,36,221
39,08,222
37,10,223
13,06,224
34,06,225
06,31,226
17,06,227
01,05,228
09,01,229
18,03,230
25,07,231
44,01,232
13,05,233
55,04,234
06,33,235
22,03,236
24,04,237
41,03,238
37,06,239
13,04,240
34,04,241
34,08,242
34,07,243
36,01,244
36,03,245
06,09,246
40,05,247
01,06,248
34,01,249
34,05,250
34,02,251
25,06,252
28,01,253
42,01,254
49,04,255
51,04,256
51,08,257
26,02,258
26,13,259
36,17,260
36,05,261
36,24,262
36,11,263
36,23,264
36,20,265
36,26,266
08,06,267
48,08,268
48,32,269
12,27,270
12,17,271
12,11,272
12,15,273
12,18,274
12,21,275
12,03,276
12,09,277
37,04,278
48,29,279
48,06,280
48,16,281
48,15,282
42,06,283
42,05,284
42,15,285
45,05,286
34,09,287
34,11,288
47,06,289
17,05,290
17,16,291
17,13,292
06,07,293
06,49,294
06,34,295
06,50,296
06,42,297
06,32,298
06,12,299
06,38,300
06,13,301
06,26,302
06,27,303
06,14,304
06,15,305
48,10,306
48,09,307
18,06,308
41,01,309
17,01,310
17,07,311
17,14,312
09,03,313
09,05,314
09,02,315
06,53,316
06,10,317
25,01,318
25,05,319
25,04,320
48,19,321
04,05,322
04,02,323
04,08,324
35,01,325
29,07,326
40,01,327
24,05,328
24,07,329
24,08,330
39,01,331
39,04,332
39,09,333
39,12,334
55,02,335
55,06,336
66,98,337
69,98,338
06,52,339
27,02,340
12,24,341
27,03,342
51,03,343
06,47,344
18,04,345
06,25,346
39,16,347
17,08,348
25,08,349
39,05,350
27,06,351
44,02,352
36,14,353
48,24,354
06,20,355
12,23,356
26,06,357
08,05,358
55,01,359
48,02,360
48,21,361
06,36,362
48,18,363
18,01,364
42,08,365
26,10,366
27,04,367
12,07,368
26,11,369
48,25,370
48,07,371
06,18,372
25,03,373
45,04,374
29,02,375
04,06,376
53,07,377
48,22,378
06,05,379
29,04,380
32,03,381
12,20,382
51,11,383
27,05,384
39,14,385
36,16,386
12,10,387
26,12,388
45,07,389
36,07,390
36,02,391
42,13,392
08,01,393
48,33,394
18,05,395
12,16,396
12,13,397
37,08,398
17,02,399
24,02,400
39,11,401
29,05,402
24,03,403
48,03,404
11,98,405
47,09,406
78,98,407
08,07,408
12,22,409
21,03,410
06,46,411
32,01,412
29,01,413
47,07,414
17,04,415
06,30,416
06,28,417
15,01,418
04,09,419
39,07,420
20,03,421
09,04,422
13,13,423
48,31,424
12,25,425
36,22,426
37,02,427
37,09,428
31,02,429
26,14,430
13,14,431
48,11,432
39,13,433
47,05,434
36,25,435
42,03,436
02,00,437
06,35,438
06,41,439
12,14,440
53,10,441
